ts,wind_speed,wind_direction,pressure_kp,pressure_oo,flow_kp_in,flow_oo_out,flow_oo_in,dp_kp_os,dp_oo_os_8,dp_oo_os_9,dp_kp_oo,dp_kp_oo_by,dp_kp_oo_bz,dp_kp_oo_ca,air_density,gu_pressure_west_wall,gu_pressure_east_wall,gu_pressure_cyl_wall,gu_pressure_west_gap,gu_pressure_east_gap,gu_pressure_vsro,gu_sigma_008,gu_sigma_009,gu_sigma_kp_os
2022-01-08 10:30:00,2.88,189,-4.9,-17.3,13.614083333333333,33.31444444444445,0.0,-4.9,-17.3,-29.9,10.93,10.93,5.98,8.455,1.225,-5.212281803628099,-5.716911641719357,-5.175649090698212,-3.5246488800202678,-3.8105226173484876,-6.426287334682535,0.18470811254811328,-4.005594730425275,-4.154113734313889
2022-01-08 18:25:00,3.99,158,6.2,-2.7,13.615694444444445,33.37305555555555,0.0,6.2,-2.7,-26.1,10.91,10.91,6.25,8.58,1.225,-12.586780425096547,-2.545420193467344,-9.878704280564982,-12.514807024625831,-2.4232329865249587,-11.762388405242325,-12.673339077249127,-12.810915182811822,-12.444562379757015
2022-01-09 02:20:00,1.86,166,-0.8,-16.3,13.607083333333334,33.28666666666667,0.0,-0.8,-16.3,-24.3,10.88,10.88,6.0,8.440000000000001,1.225,-2.9656686605479163,-0.9554101593430893,-2.158537526825682,-2.9509943238974965,-0.5631401369813751,-2.5064861242952814,-3.082237746277767,-2.7429168701644695,-2.836940112100237
2022-01-09 10:15:00,2.89,116,0.3,-17.4,13.610777777777779,33.306666666666665,0.0,0.3,-17.4,-20.2,10.98,10.98,5.97,8.475,1.225,-4.943173648844564,4.5204981535464395,-5.364947674769982,-4.871848088591091,4.303560961447753,-1.204976658663119,-4.565851590891019,-5.079753193190256,-5.049038240144452
2022-01-09 18:10:00,2.51,121,-4.0,-20.2,13.608916666666666,33.4,0.0,-4.0,-20.2,-24.0,11.05,11.05,5.99,8.52,1.225,-3.7177382989056174,3.0334700850304688,-4.000085386752775,-3.6871583398080747,2.562061805609134,-2.1327149733787545,-3.61377236144679,-3.6834994962611503,-3.7834404827043517
2022-01-10 02:05:00,1.3,254,-15.2,-26.4,13.608222222222222,33.34166666666667,0.0,-15.2,-26.4,-31.0,10.09,10.09,5.93,8.01,1.225,1.811850063992959,-1.1612794072853905,-1.3597153719775392,1.7587663708411723,-1.155807309215296,-1.1410543676211016,1.7161025596936288,1.0091438270369342,1.8464361092335184
2022-01-10 10:00:00,1.45,325,-16.5,-29.0,13.610972222222221,33.34888888888889,0.0,-16.5,-29.0,-38.6,11.01,11.01,5.99,8.5,1.225,0.3797547010685696,-1.9314434941372292,-1.2188306748957414,0.3492697155067218,-1.789830443792081,-1.0074947674711443,-1.5583350886523217,0.8423238596637386,1.1328670193402077
2022-01-10 17:55:00,3.05,140,-12.8,-29.5,13.614111111111113,33.294444444444444,0.0,-12.8,-29.5,-35.0,11.36,11.36,5.99,8.675,1.225,-5.91101953127053,0.711560263104807,-5.20037602304071,-5.918728364385358,0.0049119199660561455,-6.408020306963006,-5.928179555028524,-6.1139365822151746,-5.927769370789375
2022-01-11 01:50:00,2.48,165,-11.9,-29.7,13.606027777777777,33.314166666666665,0.0,-11.9,-29.7,-34.5,11.95,11.95,5.97,8.959999999999999,1.225,-5.208879300774855,-1.5912028147261645,-3.848711465194683,-5.181113610771763,-0.9831000968287351,-4.4599566899795775,-5.389076906528209,-4.890349390566597,-5.004290466675695
2022-01-11 09:45:00,1.81,326,-15.8,-30.0,13.612055555555555,33.335277777777776,0.0,-15.8,-30.0,-39.0,12.04,12.04,5.95,8.995,1.225,0.5072134212232045,-2.987877361870454,-1.9178105396210239,0.4800066469360258,-2.728202250093582,-1.2401292410678675,-2.456936120441355,1.2789709452943834,1.6988234964707492
2022-01-11 17:40:00,2.54,337,-22.9,-38.7,13.613944444444444,33.28194444444444,0.0,-22.9,-38.7,-53.2,12.48,12.48,5.97,9.225,1.225,-1.749330991476217,-5.669261062289593,-3.7788963005049507,-1.0325998232850155,-4.469293824640016,0.8501229176323825,-5.387627691398183,0.0831376496128054,0.8967073740967654
2022-01-12 01:35:00,3.23,322,-36.5,-50.2,13.61875,33.37416666666667,0.0,-36.5,-50.2,-67.8,14.04,14.04,5.3500000000000005,9.695,1.225,2.691846913692911,-9.791251552195327,-5.8699520984516536,2.346687704131203,-9.461280370343362,-8.149565695841373,-7.458011240448366,4.500080921476664,6.255821928564917
2022-01-12 09:30:00,2.28,306,-28.9,-48.1,13.611583333333332,33.40222222222222,0.0,-28.9,-48.1,-65.6,15.05,15.05,4.83,9.940000000000001,1.225,4.0192361897272475,-4.568988046298311,-3.1533525410046104,3.6527217525222886,-4.5133081522090945,-4.857135367096811,-2.206120964142676,3.6327654910839087,6.01905417512595
